Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
337,Collin Sexton,PG,25,UTA,5,0,20.4,4.8,9.8,0.49,1.2,3,0.4,3.6,6.8,0.529,0.551,3.4,4,0.85,0.4,1.4,1.8,2.4,0,0,1.6,2,14.2
338,Landry Shamet,SG,26,WAS,1,0,12,3,5,0.6,2,4,0.5,1,1,1,0.8,0,0,,0,1,1,2,1,0,0,3,8
339,Day'Ron Sharpe,C,22,BRK,4,0,9.5,2.5,4,0.625,0,0,,2.5,4,0.625,0.625,0.5,1.3,0.4,2,3.3,5.3,0.5,0.5,0.8,1.5,2,5.5
340,Shaedon Sharpe,SG,20,POR,5,4,37.2,7,15.2,0.461,2.4,6.4,0.375,4.6,8.8,0.523,0.539,3.8,4.4,0.864,2.6,3,5.6,3,1,0.8,2.4,2.4,20.2
341,Ben Sheppard,SG,22,IND,2,0,10,1,2.5,0.4,1,2,0.5,0,0.5,0,0.6,0,0,,0.5,0.5,1,1,0,0,0,1.5,3
342,Pascal Siakam,PF,29,TOR,5,5,36,6.6,14.8,0.446,2.2,5.8,0.379,4.4,9,0.489,0.52,2.6,3.4,0.765,0.6,6.2,6.8,4.4,0.4,0.2,2,2.8,18
343,Ben Simmons,PG,27,BRK,4,4,31.3,3.5,6.3,0.56,0,0,,3.5,6.3,0.56,0.56,0.3,1,0.25,2.5,7.8,10.3,7.5,0.5,1.3,2.5,2.5,7.3
344,Anfernee Simons,SG,24,POR,1,1,27,6,14,0.429,2,6,0.333,4,8,0.5,0.5,4,4,1,1,1,2,4,2,0,0,2,18
345,Jericho Sims,C,25,NYK,2,0,3.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0.5,1.5,2,0.5,0,0,0,0,0
346,Marcus Smart,PG,29,MEM,5,5,31.8,6,12,0.5,2.4,7,0.343,3.6,5,0.72,0.6,1.6,2.2,0.727,0.4,2.2,2.6,5.8,3.2,0.4,4,3.4,16
347,Dennis Smith Jr.,PG,26,BRK,3,0,12.7,1.7,4,0.417,0.7,1.3,0.5,1,2.7,0.375,0.5,0.3,0.7,0.5,1,2,3,1.3,0.3,0,1,2.3,4.3
348,Dru Smith,SG,26,MIA,3,0,18,2,4,0.5,1.3,2,0.667,0.7,2,0.333,0.667,0,0,,0.3,0.7,1,2.7,1.3,0.3,0.7,1.3,5.3
